book,condition,price,JacketCondition,Book_Info_ID
30577519075,very good,$3.65 ,,0
30726857697,good,,,1
6289006299,good,$2.99 ,,2
30354314363,very good,$3.80 ,,3
30428585060,good,$4.87 ,,4
30636277564,very good,$14.95 ,,5
30473751592,good,$4.29 ,,6
30337423703,good,$10.00 ,,7
14883183609,good,$14.57 ,,8
98082475,,$7.50 ,,9
30723122513,good,$3.98 ,,10
823826796,good,$1.99 ,,11
822212931,,$7.50 ,,12
30095710798,very good,$6.94 ,,13
30418872003,very good,,,14
30632395990,good,$8.96 ,,15
30287631422,very good,$3.51 ,,16
1550125451,good,$10.00 ,,17
24246484,,$16.50 ,,18
30266962238,new,$31.28 ,,19
30697356726,very good,$3.80 ,,20
18385031906,good,$25.00 ,,21
30305442772,good,$3.51 ,,22
10888942506,good,$2.00 ,,23
30137477279,,$4.00 ,,24
30137469766,,$10.00 ,,25
189472654,good,$2.00 ,,26
22916774504,,$27.50 ,,27
22422624086,,$4.95 ,,28
30662833572,,$100.00 ,,29
30614776407,good,$1.99 ,,30
30737952910,good,$4.00 ,,31
11380859030,,$2.00 ,,32
30694937015,good,$99.99 ,,33
30671520483,very good,$4.46 ,,34
30140241473,very good,$3.32 ,,35
30554055674,good,$2.00 ,,36
30615204321,,$23.99 ,,37
823293040,very good,$12.00 ,good,38
30000214918,good,$1.00 ,good,39
30362456248,,$4.34 ,,40
30665742486,good,$5.76 ,,41
30665976502,very good,$3.79 ,,42
22543314164,,$4.95 ,,43
30699156943,very good,$3.61 ,,44
30265372055,new,$42.29 ,,45
22879541801,very good,$6.49 ,,46
30712311881,new,$1.01 ,,47
30015358564,good,$3.97 ,,48
30287592558,good,$6.49 ,,49
30749797369,very good,$4.70 ,,50
30697816940,good,$3.51 ,,51
30570556952,new,$6.66 ,,52
30095683067,very good,$13.00 ,fair,53
30652067418,good,$4.19 ,,54
30028993415,good,$4.19 ,,55
30359738117,good,$19.95 ,good,56
30329763735,very good,$6.54 ,,57
30737698817,good,$4.00 ,,58
30686232758,good,$3.61 ,,59
30425838269,,$10.00 ,,60
30737743689,good,$4.70 ,,61
30183179393,very good,$3.79 ,,62
30320983832,good,$4.50 ,,63
30137478754,,$6.00 ,,64
6774804172,,$4.01 ,,65
22648683565,very good,$9.00 ,,66
22494417343,,$19.95 ,,67
8246190622,very good,$11.25 ,,68
30604786599,good,$2.99 ,,69
22513525406,good,$18.00 ,,70
5832979961,,$7.00 ,,71
2795338706,very good,$10.00 ,,72
30381402514,good,$2.50 ,,73
30429762138,,$15.93 ,,74
998637035,very good,$25.00 ,,75
2671035441,very good,$10.00 ,,76
3654291430,very good,$50.00 ,,77
30137539540,,$8.00 ,,78
30137477804,,$6.00 ,,79
30686147550,good,$2.95 ,,80
30699880571,poor,$3.51 ,,81
30037449660,good,$35.46 ,,82
30407712304,good,$7.39 ,,83
30282570146,,$17.95 ,,84
30737194530,good,$4.00 ,,85
30736082254,good,$7.97 ,,86
30648474659,very good,$3.61 ,,87
30137491656,,$6.00 ,,88
30406109942,good,$11.26 ,,89
30733118490,good,$4.55 ,,90
30053403427,good,$4.19 ,,91
30602634771,very good,$25.00 ,,92
19062008056,,$20.00 ,,93
30137494440,,$4.00 ,,94
18458388866,,$7.00 ,,95
10436241196,,$12.00 ,,96
30739474960,good,$4.00 ,,97
30137473206,,$7.00 ,,98
30739083505,very good,$4.00 ,,99
30644172242,new,$8.05 ,,100
30739950352,good,$4.00 ,,101
30121598318,fair,$1.23 ,,102
30575915990,very good,$3.42 ,,103
30717116979,good,$2.74 ,,104
30203092696,very good,$6.74 ,,105
30744988985,very good,$3.89 ,,106
30310720384,fair,$3.50 ,,107
30647132083,good,$8.39 ,,108
30669036419,good,$1.50 ,,109
30268656684,new,$42.88 ,,110
30704861605,very good,$3.95 ,,111
22615210486,good,$50.30 ,,112
30531346651,good,$4.38 ,,113
607648076,good,$24.00 ,,114
30708361006,,$19.00 ,,115
30266983201,new,$29.77 ,,116
30377938178,new,$16.06 ,,117
30699305106,very good,$3.51 ,,118
30699458808,very good,$3.98 ,,119
30637134911,very good,$3.50 ,,120
30709737079,good,$6.47 ,,121
30309832356,fair,$2.49 ,,122
22299303321,very good,$15.00 ,,123
30595966061,poor,$11.10 ,,124
30568793746,new,$13.04 ,,125
30740400350,good,$3.98 ,,126
30735397395,good,,,127
30556606540,good,,,128
30577545886,good,$4.69 ,,129
22769487174,fair,$11.36 ,,130
30716428273,good,,,131
30127853508,new,$15.61 ,,132
30733293954,good,$4.70 ,,133
19095751319,good,$18.00 ,,134
30723439423,fair,$4.55 ,,135
15362937128,,$8.47 ,,136
30749307377,good,$4.70 ,,137
30415626040,good,$7.86 ,good,138
30712018015,,$4.25 ,,139
10301020323,fair,$10.00 ,,140
30275974063,very good,$14.80 ,,141
114761838,,$15.33 ,,142
684210019,,$25.00 ,very good,143
22420062805,,$7.00 ,,144
3001480206,good,$150.00 ,good,145
30666564546,very good,$6.98 ,,146
30228415401,,$36.62 ,,147
14407574795,,$22.00 ,,148
30667604154,very good,$3.39 ,,149
30687961273,,,,150
30734501872,good,$3.84 ,,151
30733616052,good,$2.49 ,,152
30281998593,good,$14.99 ,,153
30714902240,good,$4.69 ,,154
30736083255,good,$2.48 ,,155
30736520672,good,$10.97 ,,156
22460401805,,$17.00 ,,157
1284941630,,$3.38 ,,158
30740021376,very good,$4.70 ,,159
30324233101,new,$33.61 ,,160
30356009620,very good,$6.48 ,,161
2337216202,very good,$15.53 ,poor,162
30651832922,good,$5.76 ,,163
544738317,,$23.00 ,,164
30651516898,good,$5.71 ,,165
22719066369,,$4.34 ,,166
19016533949,good,$6.66 ,,167
22789582708,,$3.25 ,,168
30027561735,fair,,,169
30711417302,good,$4.01 ,,170
30137495559,,$25.00 ,,171
30621293980,good,$4.15 ,,172
30150294488,,$31.19 ,,173
30694833960,good,$2.50 ,,174
30230577991,very good,$3.00 ,,175
30737438311,good,$4.00 ,,176
22457824068,good,$279.00 ,,177
21337423311,very good,$30.00 ,,178
22552642457,very good,$4.50 ,very good,179
30364452564,fair,$9.84 ,,180
30711207118,good,$3.43 ,,181
7059163101,fair,$9.29 ,,182
30571389945,very good,$3.61 ,,183
30466178294,good,$46.98 ,,184
30687807982,,,,185
30322074022,very good,$5.26 ,,186
22665761592,,$6.99 ,,187
30443444031,good,$4.34 ,,188
12266457281,good,$3.50 ,,189
30271292761,new,$41.37 ,,190
30685407896,good,$3.00 ,,191
30661431097,good,$5.87 ,,192
1115359369,,$25.00 ,,193
30604210482,very good,$40.00 ,,194
30742905930,new,$28.82 ,,195
30268484086,new,$23.54 ,,196
30005420507,,$27.50 ,,197
30268503328,new,$28.91 ,,198
18670992715,fair,$4.61 ,,199
30259804923,,$9.68 ,,200
30618024753,good,$5.19 ,,201
30738811879,very good,$4.00 ,,202
4800293611,,$5.00 ,,203
10523283000,new,$4.99 ,,204
30110201905,fair,$2.50 ,,205
11144279544,very good,$9.99 ,,206
30582626647,good,$4.00 ,,207
30580093443,very good,$8.25 ,,208
30057305211,,$20.00 ,,209
1239335062,,$9.95 ,,210
30737970613,very good,$4.70 ,,211
30747390092,very good,$3.61 ,,212
30587436982,new,$9.22 ,,213
30109124174,,$12.19 ,,214
30575242715,very good,$3.98 ,,215
30663351563,new,$6.98 ,,216
46718605,very good,$3.00 ,,217
30599151486,good,,,218
22420041337,,$7.00 ,,219
30588282465,good,$3.00 ,,220
30590799112,good,$5.00 ,,221
22299303250,very good,$10.00 ,,222
344406900,poor,$20.00 ,good,223
11028834911,very good,$9.95 ,,224
30591014746,fair,$25.50 ,,225
30137492539,,$10.00 ,,226
1329938320,,$10.00 ,,227
30740123224,very good,$4.47 ,,228
30694611592,good,$3.98 ,,229
22408985165,,$4.00 ,,230
30197432915,very good,$23.50 ,very good,231
30457658985,good,$3.51 ,,232
30652282012,good,$5.99 ,,233
30532009766,very good,$12.00 ,,234
30740925296,very good,$4.99 ,,235
22859119226,good,$8.60 ,,236
30435374169,,$1.00 ,,237
30697302406,very good,$5.04 ,,238
30646187673,,$15.00 ,,239
30626768990,good,$4.54 ,,240
30716996565,good,$4.49 ,,241
30509889426,fair,$6.72 ,,242
21050369474,,$15.00 ,,243
40813675,,$3.00 ,,244
30415047848,good,$5.99 ,,245
30637735652,new,$4.09 ,,246
30745968139,new,$9.33 ,,247
30509620097,good,$4.75 ,,248
